Date/Time,热负荷/kWh,冷负荷/kWh,电负荷/kWh
Year 1 Jan 11 6:00,7297.88263854721,0,73.2926104169826
Year 1 Jan 11 7:00,6978.11236837731,0,429.874775032858
Year 1 Jan 11 8:00,5773.714384,0,1988.34660328931
Year 1 Jan 11 9:00,5074.32478264876,0,2335.23203585185
Year 1 Jan 11 10:00,2148.14695427863,0,2063.72717938151
Year 1 Jan 11 11:00,0,0,268.282881917347
Year 1 Jan 11 12:00,0,0,268.282881917347
Year 1 Jan 11 13:00,0,0,268.282881917347
Year 1 Jan 11 14:00,0,0,268.282881917347
Year 1 Jan 11 15:00,2341.28344212705,0,268.282881917347
Year 1 Jan 11 16:00,2336.13329902335,0,268.282881917347
Year 1 Jan 11 17:00,3347.95703812649,0,610.705825464329
Year 1 Jan 11 18:00,5014.29118958287,0,686.655011509517
Year 1 Jan 11 19:00,4765.17626601446,0,1031.08159047369
Year 1 Jan 11 20:00,4392.39467649075,0,2153.25902830749
Year 1 Jan 11 21:00,7467.97438893421,0,2229.20821435268
Year 1 Jan 11 22:00,7380.70433071958,0,2117.57226868664
Year 1 Jan 11 23:00,6247.28121726482,0,1632.39048398031
Year 1 Jan 12 0:00,3359.72324726745,0,149.24179646217
Year 1 Jan 12 1:00,3514.96863603953,0,73.2926104169826
Year 1 Jan 12 2:00,3557.89274993307,0,73.2926104169826
Year 1 Jan 12 3:00,3612.99863839738,0,73.2926104169826
Year 1 Jan 12 4:00,3686.36961372491,0,73.2926104169826
Year 1 Jan 12 5:00,5358.51040602244,0,73.2926104169826
Year 1 Jan 12 6:00,7547.79897997363,0,73.2926104169826
Year 1 Jan 12 7:00,7407.84736042216,0,418.078268258873
Year 1 Jan 12 8:00,6329.03165537515,0,2075.18969893181
Year 1 Jan 12 9:00,5710.10961724848,0,2422.07513149435
Year 1 Jan 12 10:00,2487.28126430618,0,2185.95929338831
Year 1 Jan 12 11:00,0,0,402.311502698136
Year 1 Jan 12 12:00,0,0,402.311502698136
Year 1 Jan 12 13:00,0,0,402.311502698136
Year 1 Jan 12 14:00,0,0,402.311502698136
Year 1 Jan 12 15:00,1896.64051079507,0,402.311502698136
Year 1 Jan 12 16:00,1760.30022832522,0,402.311502698136
Year 1 Jan 12 17:00,3032.20416212688,0,677.720851919031
Year 1 Jan 12 18:00,4779.76965533409,0,753.670037964219
Year 1 Jan 12 19:00,4568.61478859102,0,1007.48857692571
Year 1 Jan 12 20:00,4148.18297853593,0,2106.0735031692
Year 1 Jan 12 21:00,6802.19608673806,0,2182.02268921439
Year 1 Jan 12 22:00,6607.91266402584,0,2103.41656094939
Year 1 Jan 12 23:00,5480.71622101487,0,1677.06716828345
Year 1 Jan 13 0:00,2960.4638514915,0,189.450239483545
Year 1 Jan 13 1:00,3101.7878559557,0,73.2926104169826
Year 1 Jan 13 2:00,3149.2516148442,0,73.2926104169826
Year 1 Jan 13 3:00,3216.68090762725,0,73.2926104169826
Year 1 Jan 13 4:00,3289.27628766939,0,73.2926104169826
Year 1 Jan 13 5:00,4929.48371134709,0,73.2926104169826
Year 1 Jan 13 6:00,6952.44637507759,0,73.2926104169826
Year 1 Jan 13 7:00,6576.73711215373,0,418.078268258873
Year 1 Jan 13 8:00,5402.84034333394,0,2075.18969893181
Year 1 Jan 13 9:00,4787.37315001533,0,2227.08485999399
Year 1 Jan 13 10:00,2029.93592742741,0,1990.96902188795
Year 1 Jan 13 11:00,0,0,207.321231197771
Year 1 Jan 13 12:00,0,0,207.321231197771
Year 1 Jan 13 13:00,0,0,207.321231197771
Year 1 Jan 13 14:00,0,0,207.321231197771
Year 1 Jan 13 15:00,1620.21891890479,0,207.321231197771
Year 1 Jan 13 16:00,1488.94183314635,0,207.321231197771
Year 1 Jan 13 17:00,2682.44172102097,0,482.730580418671
Year 1 Jan 13 18:00,4347.41483547315,0,558.679766463855
Year 1 Jan 13 19:00,4283.4633823946,0,1007.48857692571
Year 1 Jan 13 20:00,3986.41588446395,0,2106.0735031692
Year 1 Jan 13 21:00,6755.0687447403,0,2182.02268921439
Year 1 Jan 13 22:00,6581.43044115275,0,2103.41656094939
Year 1 Jan 13 23:00,5454.64550114777,0,1677.06716828345
