solution_id,rack_id,rack_label,room_id,row,col,plot_row,plot_col,ac_unit,config_id,config_name,rho_load,alpha_age,epsilon_age,hotspot_risk
3135,room02_rack_it_038,38,room02,10,15,10,15,room02_cdz1,6,cold_plate_cdu_wshp_plus_air,0.10117453269961717,0.13196465295637558,0.13196465295637558,0.2665072970729072
3135,room02_rack_it_039,39,room02,10,14,10,14,room02_cdz1,6,cold_plate_cdu_wshp_plus_air,0.07029211551912123,0.13196465295637558,0.13196465295637558,0.2848973885888984
3135,room02_rack_it_040,40,room02,10,13,10,13,room02_cdz2,5,rdhx_wshp,0.14094806634882467,0.12804953229399968,0.12804953229399968,0.2964821426334723
3135,room02_rack_it_041,41,room02,10,12,10,12,room02_cdz2,5,rdhx_wshp,0.19687142756202575,0.12804953229399968,0.12804953229399968,0.3259756548376771
3135,room02_rack_it_042,42,room02,10,11,10,11,room02_cdz2,5,rdhx_wshp,0.22911966217103524,0.12804953229399968,0.12804953229399968,0.4391080833451882
3135,room02_rack_it_043,43,room02,10,10,10,10,room02_cdz2,5,rdhx_wshp,0.17407019356039372,0.12804953229399968,0.12804953229399968,0.3553729153152285
3135,room02_rack_it_044,44,room02,10,9,10,9,room02_cdz2,5,rdhx_wshp,0.15982000482616748,0.12804953229399968,0.12804953229399968,0.4145147985459335
3135,room02_rack_it_045,45,room02,10,7,10,7,room02_cdz4,5,rdhx_wshp,0.1961249153030704,0.20520867696392747,0.20520867696392747,0.4208642633190416
3135,room02_rack_it_046,46,room02,10,6,10,6,room02_cdz4,5,rdhx_wshp,0.1303514519006273,0.20520867696392747,0.20520867696392747,0.3847204124058177
3135,room02_rack_it_047,47,room02,10,5,10,5,room02_cdz4,5,rdhx_wshp,0.19976260119497719,0.20520867696392747,0.20520867696392747,0.4243147535558319
3135,room02_rack_it_048,48,room02,10,4,10,4,room02_cdz4,5,rdhx_wshp,0.14191636817335562,0.20520867696392747,0.20520867696392747,0.739942429161037
3135,room03_rack_it_000,0,room03,2,21,2,21,room03_cdz5,1,new_ac,0.15092191381562647,0.2205763786009119,0.2205763786009119,0.0115755627009646
3135,room03_rack_it_001,1,room03,2,20,2,20,room03_cdz5,1,new_ac,0.05978823749053841,0.2205763786009119,0.2205763786009119,0.2179614296749559
3135,room03_rack_it_002,2,room03,2,19,2,19,room03_cdz5,1,new_ac,0.16128349632668454,0.2205763786009119,0.2205763786009119,0.2365532648320021
3135,room03_rack_it_003,3,room03,2,18,2,18,room03_cdz5,1,new_ac,0.18757839887830646,0.2205763786009119,0.2205763786009119,0.3016426149736237
3135,room03_rack_it_004,4,room03,2,17,2,17,room03_cdz5,1,new_ac,0.14115204615877955,0.2205763786009119,0.2205763786009119,0.3523937721604044
3135,room03_rack_it_005,5,room03,2,16,2,16,room03_cdz5,1,new_ac,0.06990558353226609,0.2205763786009119,0.2205763786009119,0.3857644304581489
3135,room03_rack_it_006,6,room03,2,15,2,15,room03_cdz5,1,new_ac,0.14314372040765672,0.2205763786009119,0.2205763786009119,0.3719511069872022
3135,room03_rack_it_007,7,room03,2,14,2,14,room03_cdz5,1,new_ac,0.1262503136323676,0.2205763786009119,0.2205763786009119,0.3809206887283984
3135,room03_rack_it_008,8,room03,2,13,2,13,room03_cdz5,1,new_ac,0.10279245299019923,0.2205763786009119,0.2205763786009119,0.3765775232764533
3135,room03_rack_it_009,9,room03,2,12,2,12,room03_cdz5,1,new_ac,0.1193783168801324,0.2205763786009119,0.2205763786009119,0.4990344193272917
3135,room03_rack_it_010,10,room03,2,11,2,11,room03_cdz5,1,new_ac,0.2308336062494198,0.2205763786009119,0.2205763786009119,0.6930309378556903
3135,room03_rack_it_011,11,room03,2,10,2,10,room03_cdz5,1,new_ac,0.0801709902578563,0.2205763786009119,0.2205763786009119,0.5559571765081216
3135,room03_rack_it_012,12,room03,2,9,2,9,room03_cdz5,1,new_ac,0.11204775244752646,0.2205763786009119,0.2205763786009119,0.5362069537954202
3135,room03_rack_it_013,13,room03,2,8,2,8,room03_cdz5,1,new_ac,0.09413710025342203,0.2205763786009119,0.2205763786009119,0.5085421030093904
3135,room03_rack_it_014,14,room03,2,7,2,7,room03_cdz5,1,new_ac,0.06049710188618465,0.2205763786009119,0.2205763786009119,0.4531478019804122
3135,room03_rack_it_015,15,room03,2,6,2,6,room03_cdz5,1,new_ac,0.15597257331375275,0.2205763786009119,0.2205763786009119,0.5590628935532207
3135,room03_rack_it_016,16,room03,2,5,2,5,room03_cdz5,1,new_ac,0.09654541890268759,0.2205763786009119,0.2205763786009119,0.5880255761481263
3135,room03_rack_it_017,17,room03,2,4,2,4,room03_cdz6,2,new_ac_with_ashp,0.12602582993687583,0.12549823513743774,0.12549823513743774,0.7906606617874306
3135,room03_rack_it_018,18,room03,6,20,6,20,room03_cdz1,2,new_ac_with_ashp,0.09420977911096035,0.21518768816311917,0.21518768816311917,0.2450543085088081
3135,room03_rack_it_019,19,room03,6,19,6,19,room03_cdz1,2,new_ac_with_ashp,0.23021671737040733,0.21518768816311917,0.21518768816311917,0.2810534486215867
3135,room03_rack_it_020,20,room03,6,18,6,18,room03_cdz1,2,new_ac_with_ashp,0.1403817748401026,0.21518768816311917,0.21518768816311917,0.2898612400925087
3135,room03_rack_it_021,21,room03,6,17,6,17,room03_cdz1,2,new_ac_with_ashp,0.1584370947466176,0.21518768816311917,0.21518768816311917,0.2221996510712005
3135,room03_rack_it_022,22,room03,6,16,6,16,room03_cdz1,2,new_ac_with_ashp,0.17791323948290477,0.21518768816311917,0.21518768816311917,0.2365022420862125
3135,room03_rack_it_023,23,room03,6,15,6,15,room03_cdz1,2,new_ac_with_ashp,0.16439773889316625,0.21518768816311917,0.21518768816311917,0.3565982168125001
3135,room03_rack_it_024,24,room03,6,14,6,14,room03_cdz1,2,new_ac_with_ashp,0.21471222161109343,0.21518768816311917,0.21518768816311917,0.3895677234061031
3135,room03_rack_it_025,25,room03,6,12,6,12,room03_cdz2,4,cold_plate_cdu_wshp,0.07986838940773605,0.22460250817289373,0.22460250817289373,0.4485240300183728
3135,room03_rack_it_026,26,room03,6,11,6,11,room03_cdz2,4,cold_plate_cdu_wshp,0.16958963452564374,0.22460250817289373,0.22460250817289373,0.4847064346184782
3135,room03_rack_it_027,27,room03,6,10,6,10,room03_cdz2,4,cold_plate_cdu_wshp,0.18064242216623122,0.22460250817289373,0.22460250817289373,0.4680341227527849
3135,room03_rack_it_028,28,room03,6,9,6,9,room03_cdz2,4,cold_plate_cdu_wshp,0.1400994576460129,0.22460250817289373,0.22460250817289373,0.3953218832822555
3135,room03_rack_it_029,29,room03,6,7,6,7,room03_cdz3,3,new_ac_high_efficiency,0.14072025095854696,0.12976407996504435,0.12976407996504435,0.3817397314631037
3135,room03_rack_it_030,30,room03,6,6,6,6,room03_cdz3,3,new_ac_high_efficiency,0.06751309848513201,0.12976407996504435,0.12976407996504435,0.4185549507016776
3135,room03_rack_it_031,31,room03,6,5,6,5,room03_cdz3,3,new_ac_high_efficiency,0.24554432707754376,0.12976407996504435,0.12976407996504435,0.436148164161136
